"Отметка времени"	"1. Ваш вік "	"2. Ваша стать"	"3.  В якому класі навчається Ваша дитина або Ваші діти (можна обрати кілька варіантів відповідей)? "	"4. Зазначте свою область проживання"	"5.  У якому населеному пункті розташований Ваш заклад освіти   "	"6.       Оберіть тип Вашого закладу освіти "	"7.  Зазначте форму власності Вашого закладу освіти "	"8. В якому форматі працює Ваш заклад освіти? "	"9. У скільки змін організовано навчання?"	"10. Яку освітню платформу  або інформаційно-комунікаційну систему використовує Ваш заклад освіти для управління освітнім процесом та комунікації з батьками? "	"Якщо зазначили ""Інше"", то напишіть яку саме  систему"	"11.Які  інформаційно-комунікаційні сервіси використовує Ваш заклад освіти для організації навчання  в очному чи в змішаному форматі? (можна вибрати декілька варіантів відповідей)"	"Якщо зазначили ""Інше"", то напишіть який саме сервіс"	"12. Чи задоволені ви технічною підтримкою (допомогою в разі технічних проблем), яку надає заклад освіти для використання освітньої платформи?"	"13. Чи маєте Ви доступ до електронного журналу та щоденника?"	"14. Чи сайт Вашого закладу освіти містить актуальну та корисну для батьків інформацію?"	"15. Зазначте позиції, які містить сайт Вашого закладу освіти (можна вибрати декілька варіантів відповідей):"	"16. За допомогою яких комунікаційних сервісів або соціальних мереж Ви спілкуєтесь з класним керівником Вашої дитини? (можна вибрати декілька варіантів відповідей)"	"Якщо зазначили ""Інше"", то напишіть що саме використовуєте"	"17. Чи налагоджений зворотній зв’язок з іншими вчителями?"	"18. Чи практикує Ваш заклад освіти опитування батьків щодо якості організації освітнього процесу?"	"19. Чи має Ваша дитина належні навички для самостійного використання цифрових ресурсів у навчанні?"	"20. Наскільки самостійно навчається Ваша дитина під час дистанційного та змішаного формату навчання?"	"21.Чи має Ваша дитина доступ до пристрою (комп'ютера, планшета) для навчання вдома?"	"22. Що, на Вашу думку, можна покращити в  інформаційно-цифровому середовищі Вашого закладу освіти? (опишіть, будь ласка, Ваші пропозиції)"
10/8/2024 17:17:35	"від 45 та старше"	"Жінка"	"9 клас"	"Київська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Єдина школа"		"Google classroom"		"Так"	"Так"	"Так"	"Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Зворотній зв’язок"	"Viber, Інше"	"Безпосередньо телефоную або зустріч очна за необхідності "	"Ні"	"Так"	"Так"	"Самостійно"	"Так"	"-"
10/7/2024 18:04:39	"від 35 до 45"	"Жінка"	"8 клас, 10 клас"	"Одеська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Не знаю"	"-"	"Google classroom"		"Так"	"Так"	"Так"	"Правила поведінки під час онлайн-занять, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів"	"Інше"	"Вайбер"	"Так"	"Так"	"Частково"	"Самостійно, але Ви контролюєте процес"	"Ні"	"-"
10/9/2024 9:34:48	"від 35 до 45"	"Жінка"	"6 клас"	"Львівська область"	"місто"	"загальноосвітня школа"	"державна (комунальна)"	"очна форма навчання"	"дві зміни"	"Інше"	"НіТ"	"Google classroom"		"Частково"	"Так"	"Частково"	"Нічого з вищезазначеного"	"Інше"	"Вайбер"	"Так"	"Ні"	"Так"	"Займається з репетиторами додатково"	"Так"	"-"
10/8/2024 12:39:45	"від 35 до 45"	"Жінка"	"3 клас"	"Харківська область"	"місто"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"		"Zoom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів, Зворотній зв’язок"	"Viber, Інше"	"Електронна пошта"	"Так"	"Так"	"Так"	"Самостійно"	"Так"	"-"
10/7/2024 21:22:44	"від 35 до 45"	"Жінка"	"10 клас"	"Дніпропетровська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Єдина школа"		"Google classroom, Zoom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів, Зворотній зв’язок"	"Viber, Інше"	"За допомогою телефону "	"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"-"
10/8/2024 20:55:57	"від 35 до 45"	"Жінка"	"6 клас"	"Харківська область"	"смт"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"	"-"	"Google classroom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів"	"Viber, Інше"	"Мобільний зв'язок "	"Ні"	"Так"	"Так"	"Вчиться тільки з Вашою підтримкою"	"Ні"	"-"
10/8/2024 20:58:11	"від 35 до 45"	"Жінка"	"11 клас"	"Харківська область"	"смт"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"		"Google classroom"		"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів"	"Viber, Інше"	"Мобільний зв'язок "	"Ні"	"Так"	"Так"	"Самостійно"	"Ні"	"-"
10/8/2024 4:39:20	"від 35 до 45"	"Жінка"	"3 клас"	"Одеська область"	"село"	"гімназія"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Не знаю"	"Ні"	"Zoom"	"Ні"	"Так"	"Так"	"Так"	"Інструкції або відеоінструкції щодо використання освітньої платформи"	"Viber"	"Ні"	"Так"	"Так"	"Частково"	"Вчиться тільки з Вашою підтримкою"	"Так"	"-"
10/8/2024 15:00:31	"від 27 до 35"	"Жінка"	"6 клас, 8 клас"	"Харківська область"	"смт"	"загальноосвітня школа"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Не знаю"		"Не знаю"		"Так"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Правила безпечного користування інтернетом"	"Viber, Інше"	"По номеру телефону "	"Частково"	"Так"	"Так"	"Самостійно"	"Ні"	"-"
10/9/2024 10:33:29	"від 35 до 45"	"Жінка"	"7 клас"	"Полтавська область"	"смт"	"ліцей"	"державна (комунальна)"	"очна форма навчання"	"одна зміна"	"Нові знання"		"Google classroom"		"Частково"	"Ні"	"Сайт не працює"	"Нічого з вищезазначеного"	"Viber, Інше"	"По телефону "	"Ні"	"Так"	"Частково"	"Самостійно"	"Так"	"-"
10/9/2024 12:59:55	"від 45 та старше"	"Жінка"	"6 клас"	"Дніпропетровська область"	"місто"	"гімназія"	"державна (комунальна)"	"змішана форма навчання"	"одна зміна"	"Єдина школа, Мій клас"	"Немає"	"Zoom"	"-"	"Частково"	"Ні"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Правила безпечного користування інтернетом, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів, Зворотній зв’язок"	"Viber"	"Розмови в телефоні"	"Так"	"Так"	"Так"	"Самостійно, але Ви контролюєте процес"	"Так"	"-"
10/14/2024 14:16:11	"від 35 до 45"	"Жінка"	"8 клас"	"Кіровоградська область"	"місто"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Єдина школа"	"-"	"Zoom"	"-"	"Так"	"Так"	"Частково"	"Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів"	"Viber, Інше"	"Телефонна розмова"	"Ні"	"Так"	"Так"	"Займається з репетиторами додатково"	"Так"	"-"
10/8/2024 19:08:26	"від 27 до 35"	"Жінка"	"2 клас"	"Харківська область"	"смт"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"		"Google classroom"		"Частково"	"Ні"	"Частково"	"Посилання на електронні підручники та навчальні матеріали"	"Viber, Інше"	"Телефоную "	"Частково"	"Так"	"Частково"	"Вчиться тільки з Вашою підтримкою"	"Частково (пристрій доступний не завжди)"	"-"
10/7/2024 17:45:47	"від 35 до 45"	"Жінка"	"9 клас"	"Одеська область"	"село"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Нові знання"	"-"	"Google classroom, Zoom"	"-"	"Частково"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей, Дотримання принципів академічної доброчесності в освітньому процесі та критерії оцінювання результатів навчання учнів, Зворотній зв’язок"	"Viber, Telegram"		"Так"	"Так"	"Так"	"Самостійно"	"Так"	"-"
10/9/2024 10:07:51	"від 27 до 35"	"Жінка"	"6 клас"	"Полтавська область"	"смт"	"ліцей"	"державна (комунальна)"	"очна форма навчання"	"одна зміна"	"Eddy"	"-"	"Google classroom"	"-"	"Так"	"Ні"	"Частково"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Правила поведінки під час онлайн-занять, Правила безпечного користування інтернетом, Поради щодо психологічної підтримки дітей"	"Viber"		"Частково"	"Так"	"Так"	"Самостійно"	"Частково (пристрій доступний не завжди)"	"-"
10/8/2024 21:57:06	"від 35 до 45"	"Жінка"	"2 клас"	"Київська область"	"село"	"ліцей"	"державна (комунальна)"	"змішана форма навчання"	"дві зміни"	"Human школа"		"Інше"	"Google meet"	"Частково"	"Так"	"Так"	"Посилання на електронні підручники та навчальні матеріали"	"Viber"		"Так"	"Так"	"Так"	"Самостійно"	"Так"	"-"
10/9/2024 10:01:31	"від 27 до 35"	"Жінка"	"2 клас"	"Харківська область"	"місто"	"ліцей"	"державна (комунальна)"	"дистанційна форма навчання"	"одна зміна"	"Нові знання"		"Інше"	"google meet"	"Так"	"Так"	"Частково"	"Інструкції або відеоінструкції щодо використання освітньої платформи, Посилання на електронні підручники та навчальні матеріали"	"Viber"		"Так"	"Так"	"Частково"	"Самостійно, але Ви контролюєте процес"	"Так"	"-"
